Company,Location_HQ,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised,Stage,Date_Added,Country,List_of_Employees_Laid_Off,,,,,
Uber,Amsterdam,Transportation,225,0.25,06-12-2020 00:00,https://www.dutchnews.nl/news/2020/06/uber-cuts-amsterdam-workforce-by-15-some-200-jobs-to-go/,24700,Post-IPO,6/27/2020 18:25,Netherlands,Unknown,,,,,
First AML,Auckland,Finance,,,10-06-2022 00:00,https://www.stuff.co.nz/business/130086557/bloodbath-awardwinning-tech-startup-firstaml-makes-sudden-restructure-announcement,29,Series B,10-07-2022 02:10,New Zealand,Unknown,,,,,
Laybuy,Auckland,Finance,45,,7/28/2022 0:00,https://www.stuff.co.nz/business/300648897/laybuy-to-cut-45-jobs-as-it-searches-for-profit,130,Post-IPO,7/29/2022 6:25,New Zealand,Unknown,,,,,
Gokada,Lagos,Transportation,54,,1/31/2023 0:00,https://techcabal.com/2023/02/02/gokada-layoffs-affects-54/,12,Unknown,02-02-2023 16:34,Nigeria,Unknown,,,,,
Moove,Lagos,Transportation,,,12-06-2022 00:00,https://techpoint.africa/2022/12/06/moove-layoffs,630,Unknown,12/21/2022 16:58,Nigeria,Unknown,,,,,
Lazerpay,Lagos,Crypto,,,11/29/2022 0:00,https://techpoint.africa/2022/11/29/lazerpay-starts-layoff,,Unknown,11/30/2022 5:59,Nigeria,Unknown,,,,,
Vendease,Lagos,Food,27,0.09,11/25/2022 0:00,https://techcabal.com/2022/11/25/nigerian-food-procurement-platform-vendease-lays-off-9-of-its-workforce/,43,Series A,11/30/2022 5:55,Nigeria,Unknown,,,,,
Quidax,Lagos,Crypto,20,0.2,11/24/2022 0:00,https://techcabal.com/2022/11/24/nigerian-crypto-exchange-quidax-lays-off-20-of-its-workforce/,3,Unknown,11/26/2022 16:24,Nigeria,Unknown,,,,,
Jumia,Lagos,Retail,,,11/21/2022 0:00,https://nairametrics.com/2022/11/21/jumia-hints-at-layoffs-as-it-moves-to-cut-operating-costs/,1200,Post-IPO,12/21/2022 17:00,Nigeria,Unknown,,,,,
Nestcoin,Lagos,Crypto,30,,11/14/2022 0:00,https://techcrunch.com/2022/11/14/african-web3-startup-nestcoin-declares-it-held-its-assests-in-ftx-lays-off-employees/,6,Seed,11/20/2022 0:07,Nigeria,Unknown,,,,,
Gokada,Lagos,Transportation,20,,11/14/2022 0:00,https://techcabal.com/2023/02/02/gokada-layoffs-affects-54/,12,Unknown,02-02-2023 16:36,Nigeria,Unknown,,,,,
Kuda,Lagos,Finance,23,0.05,09-02-2022 00:00,https://techcrunch.com/2022/09/02/nigerian-digital-bank-kuda-is-the-latest-african-startup-to-lay-off-employees/,91,Series B,09-05-2022 20:50,Nigeria,Unknown,,,,,
OPay,Lagos,Finance,,0.7,05-06-2020 00:00,https://weetracker.com/2020/05/06/opay-has-fired-staff-and-lost-top-executives/,170,Series B,5/15/2020 4:03,Nigeria,Unknown,,,,,
Renmoney,Lagos,Finance,391,0.5,4/28/2020 0:00,https://techcabal.com/2020/04/28/tech-startups-recession/,,Unknown,5/15/2020 4:06,Nigeria,Unknown,,,,,
TechAdvance,Lagos,Finance,,,04-08-2020 00:00,https://twitter.com/pyjama_ceo/status/1247881029349543941,1,Unknown,5/15/2020 4:08,Nigeria,Unknown,,,,,
Signicat,Trondheim,Security,,,11-02-2022 00:00,https://www.signicat.com/press-releases/signicat-to-realize-cost-synergies,8,Acquired,11-07-2022 19:11,Norway,Unknown,,,,,
Oda,Oslo,Food,70,0.18,11-01-2022 00:00,https://shifter.no/nyheter/oda-sparker-70-og-henter-15-milliarder-kroner/262587,477,Unknown,11-11-2022 00:08,Norway,Unknown,,,,,
Oda,Oslo,Food,70,0.06,11-01-2022 00:00,https://norway.postsen.com/local/62256/Oda-lays-off-employees-to-collect-billions-of-dollars-%E2%80%93-E24.html,479,Unknown,11/30/2022 6:08,Norway,Unknown,,,,,
Whereby,Oslo,Other,,,08-01-2022 00:00,https://www.linkedin.com/feed/update/urn:li:activity:6959902351079952384/,10,Series A,08-02-2022 03:43,Norway,Unknown,,,,,
Airlift,Lahore,Logistics,,1,07-12-2022 00:00,https://techcrunch.com/2022/07/12/airlift-shutdown/,109,Series B,7/13/2022 5:02,Pakistan,Unknown,,,,,
Truck It In,Karachi,Logistics,,0.3,06-01-2022 00:00,https://techx.pk/truck-it-in-follows-the-airlift-and-swvl-path-laying-off-around-30-of-its-workforce/,17,Seed,06-01-2022 15:51,Pakistan,Unknown,,,,,
Airlift,Lahore,Logistics,,0.31,5/25/2022 0:00,https://profit.pakistantoday.com.pk/2022/05/25/airlift-closes-down-operations-in-south-africa-smaller-cities-in-pakistan-amidst-global-downturn/,109,Series B,5/25/2022 21:07,Pakistan,Unknown,,,,,
Crehana,Lima,Education,,,6/15/2022 0:00,https://www.bloomberglinea.com/2022/06/15/crehana-confirma-que-hizo-despidos-pero-desliga-la-decision-a-crisis-de-startups/,93,Series B,6/22/2022 4:05,Peru,Unknown,,,,,
Brainly,Krakow,Education,25,,11-06-2022 00:00,https://www.newindianexpress.com/lifestyle/tech/2022/nov/06/poland-based-ed-tech-platform-brainly-fires-nearly-all-staff-in-india-2515584.html,148,Series D,11-07-2022 15:10,Poland,Unknown,,,,,
Feedzai,Coimbra,Finance,,,1/27/2023 0:00,https://www.finextra.com/newsarticle/41685/exclusive-feedzai-cuts-workforce-amid-restructuring---sources,273,Unknown,1/28/2023 21:06,Portugal,Unknown,,,,,
Monese,Lisbon,Finance,35,,05-01-2020 00:00,https://www.altfi.com/article/6531_exclusive-monese-looking-to-close-lisbon-and-berlin-offices-with-layoffs-across-the-company,80,Unknown,06-01-2020 13:11,Portugal,Unknown,,,,,
Unbabel,Lisbon,Support,80,0.35,04-08-2020 00:00,https://www.time24.news/i/2020/04/unbabel-will-lay-off-35-of-employees-there-are-more-than-80-people-observer.html,91,Series C,04-09-2020 21:39,Portugal,Unknown,,,,,
Foodpanda,Bucharest,Food,80,,5/26/2022 0:00,https://sifted.eu/articles/glovo-foodpanda-layoffs/,749,Acquired,5/28/2022 0:12,Romania,Unknown,,,,,
AliExpress Russia,Moscow,Retail,400,0.4,5/14/2022 0:00,https://asia.nikkei.com/Politics/Ukraine-war/Alibaba-s-Russian-venture-slashes-40-of-staff-amid-Ukraine-war,60,Acquired,5/14/2022 1:12,Russia,Unknown,,,,,
Wave,Dakar,Finance,300,0.15,7/13/2022 0:00,https://techcrunch.com/2022/07/13/wave-a-stripe-backed-african-fintech-valued-at-1-7-billion-cut-15-of-its-staff-in-june/,292,Series A,7/13/2022 14:48,Senegal,Unknown,,,,,
Octopus Network,Beau Vallon,Crypto,,0.4,12/27/2022 0:00,https://heraldsheets.com/cold-crypto-winter-forces-octopus-network-to-lay-off-40-besides-20-pay-cuts-for-retained-workforce/,8,Series A,12/30/2022 16:00,Seychelles,Unknown,,,,,
BitMEX,Non-U.S.,Crypto,,0.3,11-02-2022 00:00,https://www.theblock.co/post/181814/crypto-exchange-bitmex-cuts-part-of-workforce-following-ceo-departure-exclusive,0,Seed,11-03-2022 04:28,Seychelles,Unknown,,,,,
CoinFLEX,Victoria,Crypto,,,7/29/2022 0:00,https://coinflex.com/blog/coinflex-update-july-29-2022/,11,Unknown,7/29/2022 16:07,Seychelles,Unknown,,,,,
BitMEX,Non-U.S.,Crypto,75,0.25,04-04-2022 00:00,https://www.theblockcrypto.com/post/140412/bitmex-lays-off-75-employees-after-bank-acquisition-collapses,0,Seed,04-05-2022 00:02,Seychelles,Unknown,,,,,
Foodpanda,Singapore,Food,,,2/13/2023 0:00,https://www.techinasia.com/foodpanda-layoff-feb23,749,Acquired,2/14/2023 15:08,Singapore,Unknown,,,,,
Daraz,Singapore,Retail,,0.11,02-06-2023 00:00,https://propakistani.pk/2023/02/06/daraz-to-layoff-11-workforce-due-to-extremely-difficult-market-conditions/,,Unknown,02-06-2023 19:08,Singapore,Unknown,,,,,
Matrixport,Singapore,Crypto,29,0.1,1/27/2023 0:00,https://www.coindesk.com/business/2023/01/27/jihan-wus-matrixport-cuts-10-of-staff/,100,Series C,1/27/2023 14:26,Singapore,Unknown,,,,,
Moglix,Singapore,Retail,40,0.02,01-05-2023 00:00,https://inc42.com/buzz/b2b-ecommerce-unicorn-moglix-layoff-spree-fires-40-employees/,472,Series F,01-06-2023 01:37,Singapore,Unknown,,,,,
Chope,Singapore,Food,65,0.24,12/20/2022 0:00,https://www.techinasia.com/alipaybacked-chope-lays-65-employees,50,Series E,12/28/2022 15:52,Singapore,Unknown,,,,,
Glints,Singapore,HR,198,0.18,12-08-2022 00:00,https://www.techinasia.com/singaporebased-glints-lays-18-employees,82,Series D,12-09-2022 05:07,Singapore,Unknown,,,,,
Bybit,Singapore,Crypto,,0.3,12-03-2022 00:00,https://cointelegraph.com/news/bybit-announces-second-round-of-layoffs-in-2022-to-survive-bear-market,,Unknown,12-04-2022 23:04,Singapore,Unknown,,,,,
Carousell,Singapore,Retail,110,0.1,12-01-2022 00:00,https://www.straitstimes.com/singapore/jobs/carousell-cuts-110-jobs-to-rein-in-costs,372,Private Equity,12-03-2022 05:02,Singapore,Unknown,,,,,
Trax,Singapore,Retail,80,0.08,11/22/2022 0:00,https://www.themarker.com/technation/2022-11-22/ty-article/.premium/00000184-9f73-d710-a7c6-df731af70000,1000,Series E,11/22/2022 19:04,Singapore,Unknown,,,,,
Flash Coffee,Singapore,Food,,,11/22/2022 0:00,https://www.businesstimes.com.sg/startups-tech/startups/rocket-internet-backed-flash-coffee-lays-staff-across-markets,57,Series B,11/25/2022 4:12,Singapore,Unknown,,,,,
Crypto.com,Singapore,Crypto,2000,0.3,10-06-2022 00:00,https://www.techinasia.com/cryptocom-lays-2000-employees-dials-marketing-efforts,156,Unknown,10-07-2022 23:31,Singapore,Unknown,,,,,
Atome,Singapore,Finance,,,10-06-2022 00:00,https://www.techinasia.com/atome-cuts-staff-indonesias-bnpl-p2p-divisions,645,Unknown,11/27/2022 23:42,Singapore,Unknown,,,,,
Foodpanda,Singapore,Food,60,,09-07-2022 00:00,https://www.straitstimes.com/singapore/food-delivery-firm-foodpanda-lays-off-staff-in-singapore-retrenchment-reportedly-affects-about-60,749,Acquired,09-05-2022 20:52,Singapore,Unknown,,,,,
Sea,Singapore,Consumer,,,09-02-2022 00:00,https://www.peoplematters.in/news/technology/singapores-sea-cuts-jobs-in-gaming-arm-in-second-round-of-layoffs-35132,8600,Post-IPO,09-02-2022 23:24,Singapore,Unknown,,,,,
Hodlnaut,Singapore,Crypto,40,0.8,8/19/2022 0:00,https://www.coindesk.com/business/2022/08/19/crypto-lender-hodlnaut-faces-singapore-police-actions-and-staggering-job-cuts/,,Unknown,8/20/2022 3:37,Singapore,Unknown,,,,,
Crypto.com,Singapore,Crypto,,,8/16/2022 0:00,https://decrypt.co/107509/second-layoff-round-at-crypto-com-worse-than-june-cuts-sources,156,Unknown,8/16/2022 19:47,Singapore,Unknown,,,,,
Una Brands,Singapore,Retail,,0.1,6/28/2022 0:00,https://www.smh.com.au/business/entrepreneurship/i-m-heartbroken-wave-of-layoffs-begins-as-start-ups-fight-for-survival-20220628-p5ax6a.html,55,Series A,6/29/2022 3:58,Singapore,Unknown,,,,,
Bybit,Singapore,Crypto,600,0.3,6/20/2022 0:00,https://techcrunch.com/2022/06/20/bybit-crypto-exchange-joins-the-the-list-of-companies-cutting-staff/,,Unknown,6/22/2022 3:41,Singapore,Unknown,,,,,
Trax,Singapore,Retail,100,0.12,6/20/2022 0:00,https://en.globes.co.il/en/article-retail-analytics-co-trax-laying-off-over-100-1001415644,1000,Series E,6/21/2022 3:18,Singapore,Unknown,,,,,
Bybit,Singapore,Crypto,,,6/20/2022 0:00,https://twitter.com/WuBlockchain/status/1538807715861962752,,Unknown,12-04-2022 23:06,Singapore,Unknown,,,,,
Shopee,Singapore,Food,,,6/14/2022 0:00,https://asia.nikkei.com/Spotlight/DealStreetAsia/Sea-s-e-commerce-arm-Shopee-to-cut-staff-across-Southeast-Asia,,Unknown,6/14/2022 14:56,Singapore,Unknown,,,,,
Crypto.com,Singapore,Crypto,260,0.05,06-10-2022 00:00,https://blockworks.co/crypto-com-cutting-5-of-workforce-amid-digital-asset-downturn/,156,Unknown,06-11-2022 16:06,Singapore,Unknown,,,,,
Stashaway,Singapore,Finance,31,0.14,06-09-2022 00:00,https://www.techinasia.com/stashaway-lays-off-staff,61,Series D,06-09-2022 19:57,Singapore,Unknown,,,,,
Pocketmath,Singapore,Marketing,21,1,1/20/2021 0:00,https://www.businessinsider.com/mobile-advertising-company-pocketmath-shut-down-facing-lawsuits-2021-1,20,Unknown,1/21/2021 22:17,Singapore,Unknown,,,,,
GoBear,Singapore,Finance,22,0.11,09-01-2020 00:00,https://layoffs.fyi/2020/09/13/gobear-launches-talent-directory-after-laying-off-22-employees/,97,Unknown,09-02-2020 17:45,Singapore,Unknown,,,,,
Eatsy,Singapore,Food,20,1,08-08-2020 00:00,https://www.businesstimes.com.sg/garage/food-ordering-startup-eatsy-shutters-operations-0,0.9755,Seed,08-10-2020 18:04,Singapore,Unknown,,,,,
Zilingo,Singapore,Retail,100,0.12,07-09-2020 00:00,https://zilingotrade.com/en-th/blog/BLGCOMPANYANNOUNCEMENT,307,Series D,07-09-2020 19:25,Singapore,Unknown,,,,,
Grab,Singapore,Transportation,360,0.05,6/16/2020 0:00,https://layoffs.fyi/2020/06/24/official-grab-layoff-list-released-following-360-person-layoff/,9900,Series I,6/16/2020 13:43,Singapore,Unknown,,,,,
Agoda,Singapore,Travel,1500,0.25,5/18/2020 0:00,https://layoffs.fyi/2020/05/24/agoda-laid-off-1500-employees-launches-public-alumni-directory/,,Acquired,5/19/2020 1:16,Singapore,Unknown,,,,,
Zilingo,Singapore,Retail,44,0.05,4/17/2020 0:00,https://www.bloomberg.com/news/articles/2020-04-20/singapore-s-zilingo-cuts-jobs-after-putting-global-push-on-hold,307,Series D,4/19/2020 4:43,Singapore,Unknown,,,,,
Funding Societies,Singapore,Finance,65,0.18,4/16/2020 0:00,https://www.techinasia.com/raising-40m-funding-societies-streamlines-business-pandemic,42,Series B,4/19/2020 5:16,Singapore,Unknown,,,,,
RedDoorz,Singapore,Travel,,,4/14/2020 0:00,https://www.thejakartapost.com/news/2020/04/13/budget-cuts-furloughs-inevitable-for-start-ups-to-survive-pandemic-investors.html,134,Series C,4/28/2020 17:49,Singapore,Unknown,,,,,
RedDoorz,Singapore,Travel,,0.1,04-08-2020 00:00,https://www.techinasia.com/airy-cease-operations,134,Series C,05-10-2020 20:57,Singapore,Unknown,,,,,
HOOQ,Singapore,Consumer,250,1,3/27/2020 0:00,https://techcrunch.com/2020/03/27/streaming-service-hooq-files-for-liquidation/,95,Unknown,4/18/2020 13:33,Singapore,Unknown,,,,,
Yoco,Cape Town,Finance,,,4/29/2020 0:00,https://disrupt-africa.com/2020/04/sa-fintech-startup-yoco-to-retrench-staff-as-covid-19-impacts-revenues/,23,Series B,5/15/2020 4:04,South Africa,Unknown,,,,,
NCSoft,Seoul,Consumer,,0.2,02-02-2023 00:00,https://venturebeat.com/games/ncsoft-west-lays-off-20-of-its-staff-and-ceo-departs/,240,Post-IPO,02-03-2023 03:06,South Korea,Unknown,,,,,
Glovo,Barcelona,Food,250,0.06,1/30/2023 0:00,https://sifted.eu/articles/glovo-lays-offs-news/,1200,Acquired,1/30/2023 15:47,Spain,Unknown,,,,,
Wallbox,Barcelona,Energy,,0.15,1/19/2023 0:00,https://investorplace.com/2023/01/wallbox-layoffs-2023-what-to-know-about-the-latest-wbx-job-cuts/,167,Post-IPO,1/20/2023 1:22,Spain,Unknown,,,,,
Typeform,Barcelona,Marketing,,,11/15/2022 0:00,Internal memo,187,Series C,11/17/2022 0:35,Spain,Unknown,,,,,
Spotify,Stockholm,Media,600,0.06,1/23/2023 0:00,https://www.reuters.com/technology/spotify-trim-6-workforce-2023-01-23/,2100,Post-IPO,1/23/2023 15:43,Sweden,https://docs.google.com/spreadsheets/d/1Qd3VP_92HlU39iGbf303WlZ_is_QN7J0bb2vzr9J624/edit?resourcekey#gid=2039146764,,,,,
Juni,Gothenburg,Finance,72,0.33,11/17/2022 0:00,https://www.finextra.com/newsarticle/41340/juni-joins-fintech-bloodbath-lays-off-a-third-of-staff,281,Unknown,11/19/2022 23:28,Sweden,Unknown,,,,,
Oatly,Malmö,Food,,,11/15/2022 0:00,https://www.cnn.com/2022/11/15/business-food/oatly-q3-2022-results/index.html,441,Post-IPO,11/17/2022 0:02,Sweden,Unknown,,,,,
Spotify,Stockholm,Media,,,11-09-2022 00:00,https://www.digitalmusicnews.com/2022/11/09/spotify-layoffs-november-2022/,2100,Post-IPO,11-10-2022 23:10,Sweden,Unknown,,,,,
Oda,Oslo,Food,70,0.18,11-01-2022 00:00,https://www.dn.no/handel/oda/oda-kutter-70-arsverk-ma-ha-ny-milliardinnsproytning/2-1-1344693?zephr_sso_ott=mwDa9x,377,Unknown,11-01-2022 19:44,Sweden,Unknown,,,,,
Kry,Stockholm,Healthcare,300,0.1,10/31/2022 0:00,https://www.dn.se/ekonomi/kry-sager-upp-runt-300-anstallda/,568,Series D,11-01-2022 19:38,Sweden,Unknown,,,,,
Sinch,Stockholm,Other,150,,10-12-2022 00:00,https://uk.finance.yahoo.com/news/sinch-provides-further-details-cost-050000622.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAADRwGUBG5kbOJSYKYLt0IB4O8FbUDo9ttkFRgcUELO6Gf8q-smbnt44fBnI2cQFSmYc-4WiXRXdWx6qJdy54DTsJ-irN2alA4VstuV5lfL5PxPrE0vqlEnbbUVGbcRKu_XA3zO7BBQ2GLIT4onEZtoyXzlECwxiIa5kcgNBN3ih4,1500,Post-IPO,02-01-2023 05:29,Sweden,Unknown,,,,,
Spotify,Stockholm,Media,,,10-06-2022 00:00,https://techcrunch.com/2022/10/06/spotify-cancels-11-original-podcasts-lays-off-under-5-of-staff/,2100,Post-IPO,10-07-2022 02:18,Sweden,Unknown,,,,,
Klarna,Stockholm,Finance,100,,9/22/2022 0:00,https://sifted.eu/articles/klarna-second-round-layoffs/,3700,Unknown,9/22/2022 15:14,Sweden,Unknown,,,,,
Acast,Stockholm,Media,70,0.15,9/15/2022 0:00,https://www.bloomberg.com/news/newsletters/2022-09-15/swedish-podcast-company-acast-lays-off-15-of-its-staff,126,Post-IPO,9/15/2022 20:12,Sweden,Unknown,,,,,
Hedvig,Stockholm,Finance,12,,09-01-2022 00:00,https://www.mynewsdesk.com/se/hedvig-ab/news/hedvig-minskar-personalstyrkan-foer-att-naa-loensamhet-snabbare-12-heltidstjaenster-beroers-453177,67,Series B,09-01-2022 17:09,Sweden,Unknown,,,,,
Daniel Wellington,Stockholm,Retail,200,0.15,06-09-2022 00:00,https://www.breakit.se/artikel/33347/stora-nedskarningar-pa-daniel-wellington-200-personer-sags-upp,,Unknown,7/25/2022 4:27,Sweden,Unknown,,,,,
Boozt,Malmo,Retail,70,0.05,06-09-2022 00:00,https://www.breakit.se/artikel/33353/sparpaket-pa-boozt-efter-vinstsmallen-sager-upp-personal,56,Post-IPO,7/25/2022 4:26,Sweden,Unknown,,,,,
Memmo,Stockholm,Consumer,,0.4,06-08-2022 00:00,https://www.breakit.se/artikel/33321/stort-sparpaket-pa-memmo-man-maste-se-annorlunda-ut,24,Unknown,06-11-2022 03:58,Sweden,Unknown,,,,,
Klarna,Stockholm,Finance,700,0.1,5/23/2022 0:00,https://www.di.se/digital/sparpaket-pa-klarna-sparkar-10-procent-av-alla-anstallda/,3700,Unknown,5/23/2022 15:56,Sweden,Unknown,,,,,
Kry,Stockholm,Healthcare,100,0.1,5/17/2022 0:00,https://www.di.se/digital/sparpaket-pa-kry-varslar-100-personer/,568,Series D,5/17/2022 14:22,Sweden,Unknown,,,,,
Storytel,Stockholm,Media,100,0.1,3/17/2022 0:00,https://www.svt.se/kultur/storytel-pausar-planen-om-varldsherravalde-pa-ljudboksmarknaden,275,Post-IPO,5/17/2022 14:26,Sweden,Unknown,,,,,
Trustly,Stockholm,Finance,120,,2/17/2022 0:00,https://igamingbusiness.com/trustly-to-lay-off-120-as-it-increases-account-to-account-focus/,28,Acquired,5/17/2022 14:25,Sweden,Unknown,,,,,
Voi,Stockholm,Transportation,100,,04-02-2020 00:00,https://www.businessinsider.com/scooter-startup-voi-layoffs-furloughs-staff-covid-19-2020-4,167,Series B,04-02-2020 22:49,Sweden,Unknown,,,,,
Utopia Music,Zug,Media,,,11/24/2022 0:00,https://www.musicbusinessworldwide.com/utopia-music-makes-layoffs-as-it-downsizes-global-team/,,Series B,11/25/2022 22:23,Switzerland,Unknown,,,,,
Numbrs,Zurich,Finance,62,0.5,05-07-2020 00:00,https://financefwd.com/de/finanzierungsrunde-geplatzt-numbrs/,78,Series B,05-08-2020 14:05,Switzerland,Unknown,,,,,
Pomelo Fashion,Bangkok,Retail,55,0.08,09-08-2022 00:00,https://www.bloomberg.com/news/articles/2022-09-08/fashion-e-commerce-startup-pomelo-cuts-jobs-after-market-slows,120,Unknown,09-10-2022 03:53,Thailand,Unknown,,,,,
Getir,Istanbul,Food,,0.14,5/25/2022 0:00,https://techcrunch.com/2022/05/25/getir-the-12b-instant-delivery-startup-plans-to-axe-14-of-staff-globally-and-cut-aggressive-expansion-plans/,1800,Series E,5/25/2022 15:42,Turkey,Unknown,,,,,
Vezeeta,Dubai,Healthcare,50,0.1,6/28/2022 0:00,https://techcrunch.com/2022/06/28/egyptian-healthtech-startup-vezeeta-cuts-10-of-500-person-staff/?tpcc=tcplustwitter,71,Series D,6/29/2022 3:26,United Arab Emirates,Unknown,,,,,
BitOasis,Dubai,Crypto,9,0.05,6/19/2022 0:00,https://www.reuters.com/markets/rates-bonds/middle-east-focused-crypto-firm-bitoasis-cuts-jobs-amid-sector-turmoil-2022-06-19/,30,Series B,6/21/2022 3:32,United Arab Emirates,Unknown,,,,,
SWVL,Dubai,Transportation,400,0.32,5/30/2022 0:00,https://techcrunch.com/2022/05/30/swvl-plans-to-lay-off-32-of-its-team-two-months-after-going-public/,132,Post-IPO,5/31/2022 2:08,United Arab Emirates,Unknown,,,,,
Awok,Dubai,Retail,,1,09-02-2020 00:00,https://www.menabytes.com/awok-shuts-down/,30,Series A,09-02-2020 18:23,United Arab Emirates,Unknown,,,,,
Careem,Dubai,Transportation,536,0.31,05-04-2020 00:00,https://www.thenational.ae/business/economy/dubai-s-careem-cuts-536-jobs-as-lockdowns-hit-ride-hailing-across-middle-east-1.1014784,771,Acquired,05-04-2020 14:36,United Arab Emirates,Unknown,,,,,
The Modist,Dubai,Retail,,1,04-02-2020 00:00,https://www.menabytes.com/the-modist-shuts-down/,,Unknown,04-05-2020 23:25,United Arab Emirates,Unknown,,,,,
Getir,London,Food,,,2/13/2023 0:00,https://sifted.eu/articles/getir-layoff-uk-staff-gorillas-merger-news/,1800,Series E,2/14/2023 0:42,United Kingdom,Unknown,,,,,
Deliveroo,London,Food,350,0.09,02-09-2023 00:00,https://news.sky.com/story/deliveroo-to-cut-hundreds-of-jobs-globally-and-uk-to-be-worst-hit-12806890,1700,Post-IPO,02-09-2023 16:21,United Kingdom,Unknown,,,,,
NCC Group,Manchester,Security,125,0.07,02-02-2023 00:00,https://www.businesstimes.com.sg/companies-markets/british-cybersecurity-firm-ncc-group-cut-workforce-7,,Post-IPO,02-03-2023 20:21,United Kingdom,Unknown,,,,,
Arrival,London,Transportation,800,0.5,1/30/2023 0:00,https://techcrunch.com/2023/01/30/ev-company-arrival-to-cut-workforce-by-50-in-third-restructuring-effort/,629,Post-IPO,1/31/2023 5:21,United Kingdom,Unknown,,,,,
Mode Global,London,Finance,,1,1/26/2023 0:00,https://ir.q4europe.com/solutions/ModePlc/4070/newsArticle.aspx?storyid=15676173,,Post-IPO,1/30/2023 15:55,United Kingdom,Unknown,,,,,
Luno,London,Crypto,330,0.35,1/25/2023 0:00,https://www.cnbc.com/2023/01/25/dcg-owned-crypto-exchange-luno-axes-35percent-of-staff.html,13,Acquired,1/25/2023 19:22,United Kingdom,Unknown,,,,,
Scoro,London,HR,,0.09,1/24/2023 0:00,https://digipro.geenius.ee/rubriik/uudis/scoro-koondas-eestis-usas-ja-uhendkuningriigis-9-protsenti-tootajatest/,23,Series B,1/24/2023 23:02,United Kingdom,Unknown,,,,,
Cazoo,London,Transportation,,,1/18/2023 0:00,https://sifted.eu/articles/cazoo-alex-chesterman-ceo-exit/,2000,Post-IPO,1/19/2023 17:05,United Kingdom,Unknown,,,,,
Britishvolt,London,Transportation,206,1,1/17/2023 0:00,https://www.nytimes.com/2023/01/17/business/uk-britishvolt-battery-maker-bankruptcy.html,2400,Unknown,1/18/2023 2:07,United Kingdom,Unknown,,,,,
Blockchain.com,London,Crypto,110,0.28,01-12-2023 00:00,https://www.coindesk.com/business/2023/01/12/crypto-brokerage-blockchaincom-lays-off-28-of-workforce-as-industrys-cruel-winter-continues/,490,Series D,01-12-2023 16:22,United Kingdom,Unknown,,,,,
Paddle,London,Finance,,0.08,01-11-2023 00:00,https://www.linkedin.com/feed/update/urn:li:activity:7018888417195237376/,293,Series D,01-12-2023 00:53,United Kingdom,Unknown,,,,,
Minute Media,London,Media,50,0.1,01-08-2023 00:00,https://www.calcalistech.com/ctechnews/article/bjoxf00d5i,160,Series I,01-09-2023 05:15,United Kingdom,Unknown,,,,,
Zoopla,London,Real Estate,50,,12/23/2022 0:00,https://www.linkedin.com/posts/zoopla_its-with-a-heavy-heart-that-we-will-be-saying-activity-7010935780743258113-PG98/,25,Series C,12/30/2022 23:25,United Kingdom,Unknown,,,,,
StreetBees,London,Data,,,12/20/2022 0:00,https://www.linkedin.com/feed/update/urn:li:activity:7010621808135573504/,63,Unknown,1/21/2023 0:42,United Kingdom,Unknown,,,,,
Improbable,London,Other,,0.1,12/16/2022 0:00,https://news.sky.com/story/softbank-backed-metaverse-creator-improbable-lays-off-staff-12769306,704,Unknown,12/18/2022 4:18,United Kingdom,Unknown,,,,,
Primer,London,Finance,85,0.33,12-09-2022 00:00,https://techcrunch.com/2022/12/09/primer-the-uk-e-commerce-tech-startup-has-laid-off-one-third-of-its-staff/,73,Series B,12-09-2022 16:37,United Kingdom,Unknown,,,,,
Koinly,London,Crypto,16,0.14,12-06-2022 00:00,https://blockworks.co/news/crypto-tax-startup-koinly-cuts-staffers-just-in-time-for-tax-season,,Unknown,12-07-2022 06:19,United Kingdom,Unknown,,,,,
Yapily,London,Finance,,,12-01-2022 00:00,https://www.linkedin.com/posts/yapily_a-message-from-our-founder-and-ceo-ensuring-activity-7004119711693066240-ZeUT/,69,Series A,12-03-2022 05:16,United Kingdom,Unknown,,,,,
Thread,London,Retail,30,0.5,11/30/2022 0:00,https://www.drapersonline.com/news/ms-acquires-thread-intellectual-property,40,Acquired,12-11-2022 06:23,United Kingdom,Unknown,,,,,
Lyst,London,Retail,50,0.25,11/29/2022 0:00,https://techcrunch.com/2022/11/29/lyst-the-uk-fashion-marketplace-is-laying-off-25-of-staff/,144,Unknown,11/30/2022 6:03,United Kingdom,Unknown,,,,,
FutureLearn,London,Education,,,11/28/2022 0:00,https://www.classcentral.com/report/futurelearn-layoffs/,50,Unknown,11/30/2022 6:11,United Kingdom,Unknown,,,,,
Zilch,London,Finance,,,11/26/2022 0:00,https://www.standard.co.uk/business/london-fintech-unicorn-zilch-poised-to-begin-wave-of-layoffs-as-downturn-hits-buy-now-pay-later-sector-b1042587.html,389,Unknown,11/29/2022 4:26,United Kingdom,Unknown,,,,,
Carwow,London,Transportation,70,0.2,11/25/2022 0:00,https://www.ft.com/content/19150de3-bbd4-42b3-acbd-52b228dc1bf1,157,Unknown,11/29/2022 4:11,United Kingdom,Unknown,,,,,
